iter	Passed	Remaining
0	1	232
1	1	156
2	2	169
3	3	170
4	3	149
5	4	152
6	5	157
7	6	156
8	7	158
9	7	148
10	10	179
11	10	168
12	11	167
13	12	169
14	13	172
15	14	167
16	15	165
17	16	166
18	17	163
19	18	163
20	18	161
21	19	156
22	19	150
23	20	150
24	21	150
25	22	149
26	23	149
27	24	148
28	24	146
29	25	146
30	26	146
31	27	146
32	28	146
33	29	145
34	30	145
35	31	145
36	32	145
37	33	144
38	34	143
39	35	142
40	36	141
41	37	140
42	38	139
43	38	138
44	40	137
45	41	137
46	42	137
47	43	136
48	45	141
49	47	141
50	48	141
51	49	140
52	50	140
53	51	139
54	53	139
55	54	140
56	55	139
57	56	138
58	57	137
59	58	137
60	59	136
61	61	136
62	62	135
63	63	134
64	64	133
65	65	132
66	66	131
67	67	130
68	68	129
69	69	128
70	70	128
71	71	127
72	72	126
73	73	125
74	74	124
75	75	122
76	76	121
77	77	120
78	78	119
79	79	119
80	80	118
81	81	117
82	82	116
83	83	115
84	84	114
85	85	113
86	86	112
87	87	111
88	88	110
89	89	109
90	90	108
91	91	107
92	92	106
93	93	105
94	94	104
95	95	103
96	96	102
97	97	101
98	98	100
99	99	99
100	100	98
101	101	97
102	102	96
103	103	95
104	104	94
105	105	93
106	106	92
107	107	91
108	108	90
109	109	89
110	110	88
111	111	87
112	111	86
113	112	85
114	113	84
115	114	83
116	115	81
117	116	81
118	117	80
119	118	79
120	119	78
121	120	77
122	121	76
123	122	75
124	124	74
125	125	73
126	126	72
127	127	71
128	128	70
129	129	69
130	130	68
131	131	67
132	132	66
133	133	65
134	134	64
135	135	63
136	136	62
137	140	63
138	141	62
139	143	61
140	144	60
141	145	59
142	146	58
143	147	57
144	148	56
145	149	55
146	150	54
147	151	53
148	152	52
149	153	51
150	154	50
151	155	49
152	156	48
153	157	47
154	158	46
155	159	44
156	160	43
157	161	42
158	162	41
159	163	40
160	164	39
161	165	38
162	166	37
163	167	36
164	167	35
165	168	34
166	169	33
167	170	32
168	171	31
169	172	30
170	173	29
171	174	28
172	175	27
173	176	26
174	177	25
175	178	24
176	180	23
177	181	22
178	182	21
179	183	20
180	184	19
181	185	18
182	186	17
183	187	16
184	190	15
185	191	14
186	192	13
187	193	12
188	194	11
189	195	10
190	196	9
191	197	8
192	197	7
193	198	6
194	199	5
195	200	4
196	201	3
197	202	2
198	203	1
199	204	0
