Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,0.96 ± 0.10,1.36 ± 0.14,0.63 ± 0.11,0.49 ± 0.11,0.94 ± 0.12,0.54 ± 0.14
Concrete,Criterion 1.1,0.96 ± 0.11,1.36 ± 0.15,0.53 ± 0.09,0.34 ± 0.10,0.72 ± 0.09,0.35 ± 0.09
Concrete,Criterion 1.2,0.96 ± 0.11,1.33 ± 0.17,0.62 ± 0.13,0.46 ± 0.12,0.91 ± 0.11,0.51 ± 0.13
Concrete,Criterion 2,0.50 ± 0.03,0.54 ± 0.03,0.49 ± 0.03,0.48 ± 0.03,0.53 ± 0.03,0.49 ± 0.03
Composite,Baseline,0.99 ± 0.09,1.39 ± 0.11,1.06 ± 0.10,1.05 ± 0.10,1.37 ± 0.12,1.12 ± 0.10
Composite,Criterion 1.1,0.97 ± 0.08,1.36 ± 0.14,1.06 ± 0.10,1.05 ± 0.10,1.36 ± 0.13,1.10 ± 0.09
Composite,Criterion 1.2,0.96 ± 0.09,1.34 ± 0.11,1.05 ± 0.10,1.04 ± 0.10,1.36 ± 0.12,1.11 ± 0.10
Composite,Criterion 2,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05
Steel,Baseline,0.80 ± 0.23,1.10 ± 0.31,0.48 ± 0.27,0.44 ± 0.24,0.98 ± 0.22,0.51 ± 0.23
Steel,Criterion 1.1,0.73 ± 0.19,0.94 ± 0.29,0.39 ± 0.17,0.33 ± 0.16,0.90 ± 0.20,0.37 ± 0.13
Steel,Criterion 1.2,0.73 ± 0.20,1.01 ± 0.35,0.41 ± 0.20,0.37 ± 0.20,0.94 ± 0.22,0.43 ± 0.21
Steel,Criterion 2,0.56 ± 0.09,0.60 ± 0.09,0.52 ± 0.09,0.52 ± 0.08,0.56 ± 0.09,0.52 ± 0.08
Energy,Baseline,1.00 ± 0.08,1.39 ± 0.11,0.25 ± 0.07,0.19 ± 0.04,0.36 ± 0.10,0.18 ± 0.03
Energy,Criterion 1.1,0.98 ± 0.08,1.36 ± 0.16,0.24 ± 0.06,0.18 ± 0.04,0.32 ± 0.09,0.18 ± 0.04
Energy,Criterion 1.2,0.97 ± 0.09,1.37 ± 0.15,0.24 ± 0.07,0.18 ± 0.04,0.35 ± 0.10,0.17 ± 0.04
Energy,Criterion 2,0.25 ± 0.02,0.31 ± 0.03,0.22 ± 0.02,0.23 ± 0.02,0.23 ± 0.02,87.14 ± 860.35
Student,Baseline,0.96 ± 0.10,1.36 ± 0.14,0.97 ± 0.12,0.93 ± 0.11,1.23 ± 0.12,1.00 ± 0.12
Student,Criterion 1.1,0.89 ± 0.13,1.18 ± 0.18,0.89 ± 0.14,0.85 ± 0.14,1.14 ± 0.15,0.90 ± 0.15
Student,Criterion 1.2,0.87 ± 0.10,1.22 ± 0.18,0.88 ± 0.13,0.85 ± 0.13,1.13 ± 0.16,0.91 ± 0.13
Student,Criterion 2,0.89 ± 0.10,0.89 ± 0.09,0.89 ± 0.10,0.89 ± 0.09,0.89 ± 0.10,0.89 ± 0.09
Wine,Baseline,1.00 ± 0.06,1.41 ± 0.07,0.79 ± 0.07,0.67 ± 0.08,1.06 ± 0.08,0.69 ± 0.08
Wine,Criterion 1.1,0.97 ± 0.06,1.37 ± 0.07,0.70 ± 0.06,0.57 ± 0.05,0.94 ± 0.06,0.57 ± 0.05
Wine,Criterion 1.2,0.97 ± 0.06,1.38 ± 0.08,0.76 ± 0.06,0.65 ± 0.06,1.03 ± 0.06,0.67 ± 0.07
Wine,Criterion 2,0.80 ± 0.02,0.82 ± 0.02,0.80 ± 0.02,0.79 ± 0.02,0.81 ± 0.02,0.80 ± 0.02
