Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.00 ± 0.06,1.41 ± 0.07,0.84 ± 0.06,0.62 ± 0.06,1.04 ± 0.06,0.66 ± 0.07
Concrete,Criterion 1.1,0.88 ± 0.11,1.20 ± 0.16,0.73 ± 0.15,0.52 ± 0.16,0.94 ± 0.16,0.55 ± 0.18
Concrete,Criterion 1.2,0.88 ± 0.12,1.20 ± 0.21,0.73 ± 0.14,0.51 ± 0.14,0.93 ± 0.13,0.55 ± 0.16
Concrete,Criterion 2,0.65 ± 0.03,0.75 ± 0.04,0.65 ± 0.03,0.62 ± 0.03,0.71 ± 0.04,0.63 ± 0.04
Composite,Baseline,1.01 ± 0.03,1.42 ± 0.04,1.11 ± 0.04,1.13 ± 0.04,1.41 ± 0.04,1.18 ± 0.04
Composite,Criterion 1.1,0.93 ± 0.13,1.29 ± 0.16,1.05 ± 0.14,1.04 ± 0.14,1.34 ± 0.17,1.09 ± 0.14
Composite,Criterion 1.2,0.96 ± 0.10,1.32 ± 0.16,1.08 ± 0.13,1.07 ± 0.12,1.34 ± 0.16,1.11 ± 0.13
Composite,Criterion 2,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.06,1.03 ± 0.05,1.03 ± 0.05
Steel,Baseline,0.92 ± 0.15,1.37 ± 0.27,0.74 ± 0.15,0.65 ± 0.15,1.24 ± 0.20,0.73 ± 0.16
Steel,Criterion 1.1,0.54 ± 0.19,0.68 ± 0.40,0.30 ± 0.20,0.27 ± 0.22,0.80 ± 0.25,0.39 ± 0.26
Steel,Criterion 1.2,0.60 ± 0.31,0.76 ± 0.70,0.38 ± 0.36,0.28 ± 0.27,0.86 ± 0.37,0.40 ± 0.30
Steel,Criterion 2,0.70 ± 0.11,0.79 ± 0.10,0.63 ± 0.10,0.60 ± 0.10,0.73 ± 0.10,0.61 ± 0.10
Energy,Baseline,1.04 ± 0.04,1.44 ± 0.06,0.54 ± 0.05,0.34 ± 0.08,0.53 ± 0.07,0.32 ± 0.09
Energy,Criterion 1.1,0.95 ± 0.11,1.21 ± 0.23,0.46 ± 0.15,0.25 ± 0.12,0.46 ± 0.19,0.22 ± 0.10
Energy,Criterion 1.2,0.98 ± 0.12,1.23 ± 0.24,0.46 ± 0.13,0.25 ± 0.10,0.44 ± 0.14,0.23 ± 0.10
Energy,Criterion 2,0.36 ± 0.03,0.51 ± 0.04,0.31 ± 0.03,0.29 ± 0.03,0.33 ± 0.03,30.04 ± 294.68
Student,Baseline,1.00 ± 0.05,1.40 ± 0.07,1.04 ± 0.05,1.02 ± 0.05,1.31 ± 0.06,1.09 ± 0.05
Student,Criterion 1.1,0.99 ± 0.51,1.13 ± 0.03,0.79 ± 0.36,0.77 ± 0.08,1.58 ± 0.18,0.52 ± 0.15
Student,Criterion 1.2,1.11 ± 0.16,2.09 ± 0.74,0.94 ± 0.19,0.63 ± 0.09,1.24 ± 0.57,0.63 ± 0.15
Student,Criterion 2,0.92 ± 0.10,0.94 ± 0.10,0.92 ± 0.10,0.92 ± 0.09,0.94 ± 0.09,0.92 ± 0.10
Wine,Baseline,1.00 ± 0.04,1.42 ± 0.04,0.90 ± 0.03,0.76 ± 0.04,1.09 ± 0.04,0.78 ± 0.04
Wine,Criterion 1.1,0.89 ± 0.08,1.22 ± 0.11,0.81 ± 0.09,0.67 ± 0.09,1.00 ± 0.10,0.69 ± 0.09
Wine,Criterion 1.2,0.89 ± 0.07,1.23 ± 0.11,0.82 ± 0.08,0.66 ± 0.09,1.02 ± 0.09,0.68 ± 0.08
Wine,Criterion 2,0.86 ± 0.03,0.89 ± 0.03,0.84 ± 0.02,0.83 ± 0.02,0.87 ± 0.03,0.83 ± 0.02
