Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.00 ± 0.05,1.41 ± 0.07,0.87 ± 0.08,0.75 ± 0.07,1.11 ± 0.06,0.80 ± 0.07
Concrete,Criterion 1.1,0.99 ± 0.08,1.39 ± 0.11,0.79 ± 0.08,0.61 ± 0.10,1.01 ± 0.10,0.65 ± 0.11
Concrete,Criterion 1.2,0.98 ± 0.08,1.41 ± 0.11,0.85 ± 0.11,0.71 ± 0.11,1.09 ± 0.12,0.75 ± 0.11
Concrete,Criterion 2,0.65 ± 0.04,0.75 ± 0.04,0.65 ± 0.04,0.62 ± 0.04,0.72 ± 0.05,0.64 ± 0.04
Composite,Baseline,0.99 ± 0.04,1.40 ± 0.05,1.09 ± 0.04,1.11 ± 0.04,1.41 ± 0.05,1.16 ± 0.04
Composite,Criterion 1.1,0.99 ± 0.07,1.38 ± 0.09,1.09 ± 0.07,1.10 ± 0.08,1.40 ± 0.10,1.15 ± 0.08
Composite,Criterion 1.2,1.00 ± 0.06,1.40 ± 0.11,1.08 ± 0.07,1.11 ± 0.06,1.39 ± 0.08,1.15 ± 0.08
Composite,Criterion 2,1.04 ± 0.05,1.05 ± 0.05,1.04 ± 0.05,1.04 ± 0.05,1.04 ± 0.05,1.04 ± 0.05
Steel,Baseline,0.96 ± 0.21,1.39 ± 0.27,0.79 ± 0.23,0.72 ± 0.23,1.22 ± 0.20,0.80 ± 0.20
Steel,Criterion 1.1,0.80 ± 0.24,1.10 ± 0.35,0.56 ± 0.22,0.47 ± 0.21,1.03 ± 0.25,0.56 ± 0.20
Steel,Criterion 1.2,0.81 ± 0.22,1.10 ± 0.35,0.61 ± 0.25,0.52 ± 0.24,1.05 ± 0.23,0.64 ± 0.25
Steel,Criterion 2,0.70 ± 0.10,0.79 ± 0.11,0.64 ± 0.09,0.62 ± 0.09,0.73 ± 0.09,0.64 ± 0.09
Energy,Baseline,1.00 ± 0.03,1.41 ± 0.06,0.49 ± 0.09,0.39 ± 0.11,0.57 ± 0.09,0.39 ± 0.14
Energy,Criterion 1.1,1.00 ± 0.05,1.41 ± 0.12,0.50 ± 0.08,0.30 ± 0.09,0.51 ± 0.12,0.31 ± 0.15
Energy,Criterion 1.2,1.00 ± 0.06,1.41 ± 0.11,0.48 ± 0.11,0.34 ± 0.14,0.55 ± 0.12,0.33 ± 0.17
Energy,Criterion 2,0.36 ± 0.03,0.53 ± 0.04,0.30 ± 0.03,0.30 ± 0.03,0.35 ± 0.04,53.67 ± 367.93
Student,Baseline,0.99 ± 0.05,1.40 ± 0.07,1.04 ± 0.05,1.03 ± 0.05,1.30 ± 0.05,1.10 ± 0.05
Student,Criterion 1.1,0.77 ± 0.22,0.98 ± 0.43,0.75 ± 0.26,0.78 ± 0.28,1.06 ± 0.35,0.82 ± 0.29
Student,Criterion 1.2,0.85 ± 0.25,1.04 ± 0.40,0.86 ± 0.28,0.84 ± 0.29,1.02 ± 0.31,0.89 ± 0.35
Student,Criterion 2,0.91 ± 0.09,0.94 ± 0.10,0.92 ± 0.10,0.92 ± 0.09,0.94 ± 0.10,0.92 ± 0.09
Wine,Baseline,0.99 ± 0.03,1.41 ± 0.04,0.97 ± 0.04,0.82 ± 0.05,1.14 ± 0.04,0.85 ± 0.06
Wine,Criterion 1.1,0.99 ± 0.05,1.40 ± 0.06,0.90 ± 0.06,0.74 ± 0.05,1.08 ± 0.05,0.76 ± 0.06
Wine,Criterion 1.2,0.99 ± 0.05,1.40 ± 0.07,0.97 ± 0.06,0.81 ± 0.07,1.14 ± 0.06,0.84 ± 0.06
Wine,Criterion 2,0.85 ± 0.02,0.89 ± 0.03,0.85 ± 0.03,0.84 ± 0.02,0.87 ± 0.02,0.84 ± 0.02
