Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.00 ± 0.05,1.42 ± 0.07,0.84 ± 0.04,0.70 ± 0.05,1.08 ± 0.05,0.75 ± 0.05
Concrete,Criterion 1.1,0.92 ± 0.14,1.27 ± 0.28,0.74 ± 0.15,0.55 ± 0.15,0.94 ± 0.18,0.59 ± 0.17
Concrete,Criterion 1.2,0.92 ± 0.17,1.27 ± 0.27,0.75 ± 0.15,0.57 ± 0.19,0.96 ± 0.18,0.61 ± 0.20
Concrete,Criterion 2,0.69 ± 0.04,0.80 ± 0.04,0.69 ± 0.04,0.65 ± 0.04,0.76 ± 0.04,0.68 ± 0.04
Composite,Baseline,1.00 ± 0.03,1.41 ± 0.05,1.09 ± 0.03,1.14 ± 0.04,1.41 ± 0.04,1.18 ± 0.04
Composite,Criterion 1.1,0.89 ± 0.13,1.28 ± 0.19,0.97 ± 0.15,1.02 ± 0.16,1.27 ± 0.21,1.07 ± 0.18
Composite,Criterion 1.2,0.91 ± 0.14,1.24 ± 0.26,0.98 ± 0.16,1.01 ± 0.14,1.28 ± 0.21,1.07 ± 0.18
Composite,Criterion 2,1.03 ± 0.06,1.03 ± 0.06,1.03 ± 0.06,1.03 ± 0.06,1.03 ± 0.06,1.03 ± 0.06
Steel,Baseline,0.95 ± 0.19,1.36 ± 0.25,0.76 ± 0.19,0.69 ± 0.20,1.24 ± 0.20,0.78 ± 0.19
Steel,Criterion 1.1,0.63 ± 0.29,0.75 ± 0.44,0.34 ± 0.30,0.32 ± 0.27,0.93 ± 0.46,0.43 ± 0.34
Steel,Criterion 1.2,0.57 ± 0.25,0.84 ± 0.54,0.42 ± 0.45,0.27 ± 0.24,0.95 ± 0.40,0.47 ± 0.38
Steel,Criterion 2,0.73 ± 0.09,0.82 ± 0.09,0.67 ± 0.10,0.63 ± 0.09,0.75 ± 0.09,0.65 ± 0.09
Energy,Baseline,1.00 ± 0.03,1.41 ± 0.06,0.56 ± 0.04,0.39 ± 0.07,0.57 ± 0.06,0.39 ± 0.10
Energy,Criterion 1.1,0.96 ± 0.13,1.30 ± 0.32,0.45 ± 0.14,0.25 ± 0.14,0.45 ± 0.19,0.23 ± 0.12
Energy,Criterion 1.2,0.95 ± 0.14,1.29 ± 0.29,0.45 ± 0.14,0.25 ± 0.11,0.44 ± 0.18,0.24 ± 0.15
Energy,Criterion 2,0.38 ± 0.03,0.57 ± 0.04,0.33 ± 0.03,0.31 ± 0.03,0.36 ± 0.04,0.30 ± 0.04
Student,Baseline,1.00 ± 0.04,1.42 ± 0.06,1.04 ± 0.05,1.05 ± 0.04,1.32 ± 0.04,1.13 ± 0.05
Student,Criterion 1.1,0.54 ± 0.03,0.88 ± 0.01,0.92 ± 0.11,0.67 ± 0.13,1.10 ± 0.32,0.99 ± 0.33
Student,Criterion 1.2,0.89 ± 0.23,0.82 ± 0.26,1.24 ± 0.04,0.81 ± 0.32,0.77 ± 0.30,1.01 ± 0.16
Student,Criterion 2,0.94 ± 0.09,0.98 ± 0.10,0.94 ± 0.09,0.95 ± 0.09,0.97 ± 0.10,0.95 ± 0.09
Wine,Baseline,1.00 ± 0.03,1.42 ± 0.04,0.91 ± 0.03,0.79 ± 0.03,1.11 ± 0.03,0.82 ± 0.03
Wine,Criterion 1.1,0.90 ± 0.13,1.27 ± 0.17,0.81 ± 0.13,0.70 ± 0.13,1.03 ± 0.13,0.73 ± 0.13
Wine,Criterion 1.2,0.90 ± 0.11,1.27 ± 0.17,0.81 ± 0.10,0.68 ± 0.13,1.02 ± 0.13,0.71 ± 0.13
Wine,Criterion 2,0.87 ± 0.03,0.91 ± 0.03,0.86 ± 0.03,0.85 ± 0.03,0.89 ± 0.03,0.85 ± 0.03
