Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.07 ± 0.08,1.47 ± 0.09,0.86 ± 0.11,0.61 ± 0.11,1.04 ± 0.09,0.64 ± 0.12
Concrete,Criterion 1.1,0.96 ± 0.07,1.38 ± 0.10,0.62 ± 0.08,0.41 ± 0.09,0.84 ± 0.09,0.45 ± 0.09
Concrete,Criterion 1.2,1.05 ± 0.08,1.45 ± 0.12,0.84 ± 0.11,0.60 ± 0.12,1.01 ± 0.11,0.63 ± 0.12
Concrete,Criterion 2,0.55 ± 0.04,0.61 ± 0.04,0.54 ± 0.04,0.52 ± 0.04,0.59 ± 0.05,0.53 ± 0.04
Composite,Baseline,1.00 ± 0.05,1.41 ± 0.09,1.10 ± 0.06,1.08 ± 0.06,1.43 ± 0.09,1.14 ± 0.07
Composite,Criterion 1.1,0.98 ± 0.07,1.38 ± 0.11,1.07 ± 0.08,1.06 ± 0.08,1.38 ± 0.09,1.11 ± 0.09
Composite,Criterion 1.2,0.99 ± 0.07,1.41 ± 0.09,1.08 ± 0.08,1.07 ± 0.08,1.39 ± 0.10,1.13 ± 0.09
Composite,Criterion 2,1.04 ± 0.06,1.04 ± 0.06,1.04 ± 0.06,1.03 ± 0.06,1.04 ± 0.06,1.04 ± 0.06
Steel,Baseline,1.20 ± 0.27,1.54 ± 0.36,0.86 ± 0.28,0.79 ± 0.29,1.33 ± 0.25,0.83 ± 0.26
Steel,Criterion 1.1,0.77 ± 0.18,1.05 ± 0.24,0.45 ± 0.16,0.39 ± 0.16,0.93 ± 0.18,0.47 ± 0.15
Steel,Criterion 1.2,0.96 ± 0.23,1.26 ± 0.40,0.60 ± 0.23,0.51 ± 0.22,1.08 ± 0.26,0.57 ± 0.21
Steel,Criterion 2,0.60 ± 0.08,0.65 ± 0.08,0.56 ± 0.07,0.54 ± 0.07,0.61 ± 0.08,0.54 ± 0.07
Energy,Baseline,1.05 ± 0.05,1.44 ± 0.10,0.33 ± 0.07,0.21 ± 0.04,0.41 ± 0.08,0.19 ± 0.04
Energy,Criterion 1.1,0.99 ± 0.06,1.41 ± 0.11,0.31 ± 0.06,0.21 ± 0.04,0.37 ± 0.08,0.20 ± 0.06
Energy,Criterion 1.2,1.04 ± 0.06,1.42 ± 0.11,0.31 ± 0.08,0.22 ± 0.06,0.42 ± 0.08,0.19 ± 0.04
Energy,Criterion 2,0.27 ± 0.02,0.36 ± 0.03,0.23 ± 0.02,0.24 ± 0.02,0.25 ± 0.02,230.71 ± 1766.02
Student,Baseline,1.17 ± 0.08,1.55 ± 0.09,1.16 ± 0.08,1.13 ± 0.08,1.42 ± 0.08,1.18 ± 0.09
Student,Criterion 1.1,0.88 ± 0.13,1.20 ± 0.22,0.88 ± 0.14,0.88 ± 0.14,1.15 ± 0.18,0.94 ± 0.16
Student,Criterion 1.2,1.01 ± 0.15,1.36 ± 0.23,0.99 ± 0.16,0.98 ± 0.16,1.23 ± 0.20,1.03 ± 0.16
Student,Criterion 2,0.90 ± 0.09,0.92 ± 0.09,0.90 ± 0.09,0.90 ± 0.09,0.91 ± 0.09,0.90 ± 0.09
Wine,Baseline,1.16 ± 0.05,1.53 ± 0.06,1.01 ± 0.06,0.83 ± 0.07,1.19 ± 0.07,0.85 ± 0.08
Wine,Criterion 1.1,0.98 ± 0.04,1.38 ± 0.06,0.76 ± 0.04,0.62 ± 0.04,0.97 ± 0.05,0.63 ± 0.04
Wine,Criterion 1.2,1.11 ± 0.07,1.49 ± 0.07,0.96 ± 0.08,0.78 ± 0.09,1.15 ± 0.08,0.80 ± 0.09
Wine,Criterion 2,0.82 ± 0.02,0.84 ± 0.02,0.81 ± 0.02,0.80 ± 0.02,0.82 ± 0.03,0.80 ± 0.02
