Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.47 ± 0.08,1.80 ± 0.09,1.17 ± 0.09,0.86 ± 0.08,1.25 ± 0.09,0.88 ± 0.08
Concrete,Criterion 1.1,0.97 ± 0.12,1.35 ± 0.18,0.73 ± 0.13,0.56 ± 0.14,0.95 ± 0.14,0.60 ± 0.15
Concrete,Criterion 1.2,1.23 ± 0.17,1.58 ± 0.20,0.97 ± 0.16,0.63 ± 0.16,1.05 ± 0.19,0.66 ± 0.15
Concrete,Criterion 2,0.59 ± 0.03,0.71 ± 0.04,0.58 ± 0.03,0.55 ± 0.03,0.65 ± 0.04,0.56 ± 0.03
Composite,Baseline,1.07 ± 0.04,1.47 ± 0.05,1.15 ± 0.05,1.17 ± 0.05,1.45 ± 0.06,1.22 ± 0.05
Composite,Criterion 1.1,0.95 ± 0.10,1.35 ± 0.15,1.03 ± 0.12,1.07 ± 0.11,1.35 ± 0.15,1.11 ± 0.12
Composite,Criterion 1.2,0.98 ± 0.11,1.42 ± 0.16,1.06 ± 0.13,1.10 ± 0.13,1.37 ± 0.12,1.14 ± 0.13
Composite,Criterion 2,1.04 ± 0.06,1.04 ± 0.07,1.04 ± 0.06,1.04 ± 0.06,1.04 ± 0.06,1.04 ± 0.07
Steel,Baseline,3.31 ± 0.88,3.53 ± 0.89,2.83 ± 0.90,2.69 ± 0.90,3.17 ± 0.90,2.69 ± 0.90
Steel,Criterion 1.1,0.66 ± 0.24,0.81 ± 0.46,0.32 ± 0.20,0.31 ± 0.21,0.84 ± 0.31,0.40 ± 0.23
Steel,Criterion 1.2,0.81 ± 0.41,0.95 ± 0.62,0.51 ± 0.36,0.43 ± 0.30,1.05 ± 0.43,0.50 ± 0.33
Steel,Criterion 2,0.72 ± 0.09,0.79 ± 0.09,0.65 ± 0.08,0.61 ± 0.08,0.73 ± 0.09,0.61 ± 0.08
Energy,Baseline,1.13 ± 0.04,1.50 ± 0.07,0.49 ± 0.06,0.28 ± 0.05,0.49 ± 0.07,0.26 ± 0.07
Energy,Criterion 1.1,0.98 ± 0.12,1.34 ± 0.20,0.39 ± 0.11,0.24 ± 0.08,0.44 ± 0.15,0.22 ± 0.08
Energy,Criterion 1.2,1.09 ± 0.10,1.42 ± 0.17,0.45 ± 0.13,0.23 ± 0.06,0.41 ± 0.11,0.20 ± 0.06
Energy,Criterion 2,0.33 ± 0.03,0.45 ± 0.03,0.27 ± 0.02,0.26 ± 0.02,0.29 ± 0.02,7.02 ± 61.15
Student,Baseline,1.55 ± 0.10,1.88 ± 0.10,1.54 ± 0.10,1.50 ± 0.10,1.76 ± 0.10,1.54 ± 0.09
Student,Criterion 1.1,0.80 ± 0.30,0.95 ± 0.74,0.70 ± 0.38,0.77 ± 0.45,1.09 ± 0.48,0.80 ± 0.47
Student,Criterion 1.2,0.86 ± 0.47,1.27 ± 0.75,0.97 ± 0.51,0.90 ± 0.38,1.11 ± 0.32,0.98 ± 0.39
Student,Criterion 2,0.94 ± 0.09,0.97 ± 0.10,0.94 ± 0.09,0.94 ± 0.09,0.96 ± 0.10,0.94 ± 0.09
Wine,Baseline,1.33 ± 0.05,1.67 ± 0.05,1.11 ± 0.06,0.96 ± 0.07,1.28 ± 0.06,0.98 ± 0.07
Wine,Criterion 1.1,0.94 ± 0.07,1.33 ± 0.09,0.78 ± 0.07,0.67 ± 0.07,1.02 ± 0.08,0.69 ± 0.07
Wine,Criterion 1.2,1.12 ± 0.10,1.49 ± 0.11,0.92 ± 0.09,0.79 ± 0.09,1.12 ± 0.11,0.80 ± 0.09
Wine,Criterion 2,0.85 ± 0.02,0.88 ± 0.03,0.83 ± 0.02,0.82 ± 0.03,0.85 ± 0.03,0.82 ± 0.02
